Category,Task,Compleixty Order,question,context,Rating System
Information and Summarization,Factual Comprehension (True/false questions),0,Is the weather going to be sunny tomorrow in Seattle? ,"Here's a general outlook for Seattle over the next week. Tuesday, August 6 to Monday, August 12 Tuesday: Sunny and pleasant. Highs in the mid-70s. Wednesday: Sunny and warmer. Highs in the upper 70s. Thursday: Sunny and hot. Highs in the mid-80s.Friday: Partly cloudy with a slight chance of showers. Highs in the low 70s. Saturday: Partly cloudy and mild. Highs in the mid-70s. Sunday: Partly cloudy with a chance of showers. Highs in the upper 60s. Monday: Partly cloudy and cool. Highs in the mid-60s.",binary (yes/no)
Information and Summarization,Factual Comprehension (Detail-oriented questions),1,How many characters are there in this story? ,"Once upon a time, there was an old sow with three little pigs. As she didn't have enough food for all of them, she sent them off to seek their fortunes. The first little pig was rather lazy and built his house of straw. The second pig was a bit more industrious and constructed his house of sticks. But it was the third little pig who showed true wisdom. He built his house of bricks, a sturdy and dependable structure. These three little pigs, each with their distinct personalities and building choices, would soon find themselves facing a big, bad wolf.",likert
Information and Summarization,Inferential Comprehension (Making predictions),2,What will happen to the lost puppy in the forest? ,"A young puppy, full of boundless energy and curiosity, has wandered away from its human companion and into the heart of a dense forest. The once familiar world of home has been replaced by a labyrinth of towering trees, shadowy undergrowth, and unfamiliar scents. The puppy, accustomed to the safety and warmth of human care, now faces a daunting array of challenges. From the perils of wild animals to the threats of hunger, thirst, and exposure, the forest presents a harsh and unforgiving environment. The puppy's survival will depend on its inherent instincts, physical abilities, and the unpredictable nature of its surroundings.",likert
Information and Summarization,Inferential Comprehension (Cause and effect),3,Why did the king decide to go to war? ,"The kingdom of Eldoria has enjoyed a long peace. Its borders have been secure, and its people prosperous. However, tensions with the neighboring empire of Zypheria have been simmering for years. Recent border skirmishes and the mysterious disappearance of Eldorian trade ships have heightened these tensions. Economic sanctions imposed by Zypheria have crippled Eldoria's trade, leading to widespread discontent among the populace. A nationalist movement has emerged, demanding retribution for the nation's perceived humiliation.",likert
Information and Summarization,Inferential Comprehension (Implied meaning),4,What are the potential consequences of a group of teenagers finding a hidden portal to another dimension?,"The small town of Willow Creek, known for its serene and picturesque environment, was nestled among rolling hills and lush forests. It seemed like a place where time stood still. However, this tranquility masked an ancient secret buried deep within the woods—a mysterious, otherworldly anomaly. <br> A diverse group of teenagers—a curious science enthusiast named Alex, a free-spirited artist named Luna, a practical athlete named Jake, and a book-loving introvert named Emily—came together through their mutual love for exploration. Seeking adventure and a break from the routine of small-town life, they often ventured into the woods on secret expeditions. Unbeknownst to them, their explorations would lead them to uncover a hidden portal, an event that would forever alter their lives. <br> One crisp autumn afternoon, the friends discovered a shimmering, translucent portal hidden at the base of a massive oak tree in a secluded clearing. The portal's ethereal glow captivated them, and despite their fears, curiosity compelled them to investigate further. Debating the risks and rewards, they decided to step through the portal, embarking on an extraordinary journey that would uncover ancient secrets, challenge their understanding of reality, and test their bond as friends.",likert
Information and Summarization,Critical Thinking and Analysis (Summarizing),5,Write a short summary of the main events in the story. ,"In the quiet town of Willow Creek, four teenagers—Alex, Luna, Jake, and Emily—bond over their love for adventure. On one of their explorations in the nearby woods, they stumble upon a hidden portal at the base of an ancient oak tree. Despite their fears, curiosity drives them to step through the portal, transporting them to another dimension. <br> In this new world, they face a series of extraordinary events and challenges, uncovering ancient secrets and encountering strange beings. Their journey tests their courage, ingenuity, and the strength of their friendship. As they navigate this unfamiliar dimension, they must find a way back home while understanding the profound implications of their discovery. <br> Ultimately, their adventure leads to personal growth and a deeper bond among them, forever changing their lives and their perception of reality.",likert
Information and Summarization,Critical Thinking and Analysis (Comparing and contrasting),6,How are the two main characters similar and different?,"In the bustling city of Brookside, Alex and Luna are two of the four teenagers who discover a hidden portal in an abandoned warehouse. Alex, a curious science enthusiast, is analytical and logical, always seeking to understand the world through experiments and data. His motivation comes from a desire to uncover the unknown and make sense of the mysteries around him. <br> Luna, on the other hand, is a free-spirited artist driven by creativity and emotion. She views the world through a lens of beauty and wonder, often expressing her thoughts and feelings through her artwork. Her motivation lies in the pursuit of inspiration and the desire to explore the depths of her imagination. <br> Despite their different approaches, both characters share a profound curiosity and a thirst for adventure. They are united by their willingness to step into the unknown and face challenges head-on. While Alex approaches problems with a methodical mindset, Luna relies on intuition and creativity. Their contrasting perspectives often complement each other, allowing them to navigate the new dimension they discover while growing and learning from their unique strengths.",likert
Information and Summarization,Critical Thinking and Analysis (Evaluating arguments),7,"Evaluate the arguments presented by Alex and Luna about whether to continue exploring the new dimension despite the risks. Whose reasoning is more convincing, and why?","In the vibrant city of Brookside, four adventurous teenagers—Alex, Luna, Jake, and Emily—discover a hidden portal in an abandoned warehouse. Drawn by curiosity and a thirst for adventure, they step through and find themselves in a fantastical world like no other. <br> This new dimension is a place where gravity is optional, time flows like a lazy river, and the sky is a kaleidoscope of ever-changing colors. They encounter floating islands connected by shimmering bridges of light, forests with trees that sing, and creatures straight out of a fairytale. <br> However, as their journey progresses, Alex and Luna find themselves in a spirited debate. Alex, the science whiz, is thrilled by the endless possibilities for discovery. ""Imagine the breakthroughs in science and technology!"" he exclaims. ""We've navigated so many challenges already; we can handle more. The risks are worth the knowledge we could gain."" <br> Luna, the free-spirited artist, sees things differently. ""This place is beautiful but unpredictable,"" she argues. ""We've had some close calls, and our safety should come first. We already have amazing stories to tell. Let's not push our luck and risk losing everything.""",likert
Information and Summarization,Textual Analysis (Identifying literary devices),8,Identify the metaphor used in the second paragraph,"In the bustling city of Brookside, four teenagers—Alex, Luna, Jake, and Emily—stumble upon a hidden portal in an abandoned warehouse. Drawn by curiosity, they step through and find themselves in a world unlike any they've ever known. <br>. In this new dimension, they discover a realm where reality bends and shifts like a dream. The landscape is a patchwork quilt of floating islands, each one stitched together by threads of light. The sky above them is an artist's canvas, constantly changing colors and shapes as if painted by an invisible hand. Time flows differently here, moving like a river that meanders and loops back on itself. <br> As they explore this strange and beautiful place, they encounter creatures that defy logic and landscapes that challenge their perceptions. Alex, ever the scientist, tries to make sense of it all, while Luna sees it as a living masterpiece. Together, they navigate this wondrous world, their bond growing stronger with each new discovery. The journey tests their courage, creativity, and their ability to adapt to an ever-changing reality.",likert
Information and Summarization,Textual Analysis (Determining author's purpose),9,What is the author's purpose for writing this article? (Requires understanding the context in which the article was written),"In an age where digital technology dominates everyday life, an article titled ""The Lost Art of Handwritten Letters"" appears in a popular lifestyle magazine. The author, Emma Hartfield, opens with a nostalgic reflection on the joy of receiving handwritten letters. She recounts her childhood memories of exchanging letters with her grandmother and the excitement of waiting for the mail. <br> Emma contrasts these personal experiences with today's fast-paced digital communication, where emails and instant messages prevail. She argues that while modern technology offers convenience and speed, it lacks the emotional depth and personal touch of handwritten correspondence. Through vivid descriptions and personal anecdotes, she highlights the unique qualities of handwritten letters: the effort involved, the individuality of each person's handwriting, and the tangible connection to the sender. <br> The article also delves into the historical significance of letter writing, citing famous correspondences between historical figures and the impact these letters had on their relationships and on history itself. Emma emphasizes that handwritten letters are a form of art, a way to express thoughts and emotions in a more deliberate and meaningful manner. <br> In addition to her nostalgic and historical perspectives, Emma offers practical advice for those who wish to revive the practice. She suggests starting small, perhaps with thank-you notes or birthday cards, and gradually incorporating letter writing into one's routine. She also encourages readers to see letter writing as a way to slow down and appreciate the act of thoughtful communication. <br> Throughout the article, Emma's tone is both persuasive and reflective, urging readers to consider the value of handwritten letters in an increasingly digital world. By the end of the article, it is clear that her purpose is to inspire a renewed appreciation for this lost art and to encourage readers to reconnect with others in a more personal and meaningful way.",likert
